Provinsi;Tahun;Jenjang Pendidikan;Presentase peserta didik
ACEH;2015;SD;96.47
SUMATERA UTARA;2015;SD;92.76
SUMATERA BARAT;2015;SD;87.85
RIAU;2015;SD;90.44
JAMBI;2015;SD;93.12
SUMATERA SELATAN;2015;SD;90.27
BENGKULU;2015;SD;92.15
LAMPUNG;2015;SD;94.46
KEP. BANGKA BELITUNG;2015;SD;90.05
KEP. RIAU;2015;SD;97.85
DKI JAKARTA;2015;SD;96.56
JAWA BARAT;2015;SD;92.42
JAWA TENGAH;2015;SD;92.91
DI YOGYAKARTA;2015;SD;95.98
JAWA TIMUR;2015;SD;91.76
BANTEN;2015;SD;91.66
BALI;2015;SD;96.73
NUSA TENGGARA BARAT;2015;SD;94.40
NUSA TENGGARA TIMUR;2015;SD;78.94
KALIMANTAN BARAT;2015;SD;83.99
KALIMANTAN TENGAH;2015;SD;93.18
KALIMANTAN SELATAN;2015;SD;87.15
KALIMANTAN TIMUR;2015;SD;94.65
KALIMANTAN UTARA;2015;SD;92.11
SULAWESI UTARA;2015;SD;93.41
SULAWESI TENGAH;2015;SD;87.06
SULAWESI SELATAN;2015;SD;91.18
SULAWESI TENGGARA;2015;SD;92.21
GORONTALO;2015;SD;85.72
SULAWESI BARAT;2015;SD;90.27
MALUKU;2015;SD;91.56
MALUKU UTARA;2015;SD;92.25
PAPUA BARAT;2015;SD;82.45
PAPUA BARAT DAYA;2015;SD;-
PAPUA;2015;SD;62.34
PAPUA SELATAN;2015;SD;-
PAPUA TENGAH;2015;SD;-
PAPUA PEGUNUNGAN;2015;SD;-
INDONESIA;2015;SD;91.44
ACEH;2016;SD;98.07
SUMATERA UTARA;2016;SD;96.61
SUMATERA BARAT;2016;SD;90.69
RIAU;2016;SD;93.23
JAMBI;2016;SD;95.93
SUMATERA SELATAN;2016;SD;94.86
BENGKULU;2016;SD;93.98
LAMPUNG;2016;SD;96.26
KEP. BANGKA BELITUNG;2016;SD;89.38
KEP. RIAU;2016;SD;94.9
DKI JAKARTA;2016;SD;95.32
JAWA BARAT;2016;SD;93.75
JAWA TENGAH;2016;SD;95.59
DI YOGYAKARTA;2016;SD;96.64
JAWA TIMUR;2016;SD;94.78
BANTEN;2016;SD;94.48
BALI;2016;SD;97.00
NUSA TENGGARA BARAT;2016;SD;96.03
NUSA TENGGARA TIMUR;2016;SD;84.71
KALIMANTAN BARAT;2016;SD;87.93
KALIMANTAN TENGAH;2016;SD;93.75
KALIMANTAN SELATAN;2016;SD;93.89
KALIMANTAN TIMUR;2016;SD;98.16
KALIMANTAN UTARA;2016;SD;92.72
SULAWESI UTARA;2016;SD;94.97
SULAWESI TENGAH;2016;SD;90.93
SULAWESI SELATAN;2016;SD;93.79
SULAWESI TENGGARA;2016;SD;95.58
GORONTALO;2016;SD;88.98
SULAWESI BARAT;2016;SD;90.78
MALUKU;2016;SD;93.60
MALUKU UTARA;2016;SD;91.83
PAPUA BARAT;2016;SD;84.77
PAPUA BARAT DAYA;2016;SD;-
PAPUA;2016;SD;65.66
PAPUA SELATAN;2016;SD;-
PAPUA TENGAH;2016;SD;-
PAPUA PEGUNUNGAN;2016;SD;-
INDONESIA;2016;SD;93.88
ACEH;2017;SD;97.85
SUMATERA UTARA;2017;SD;97.63
SUMATERA BARAT;2017;SD;92.67
RIAU;2017;SD;94.76
JAMBI;2017;SD;95.65
SUMATERA SELATAN;2017;SD;95.88
BENGKULU;2017;SD;94.23
LAMPUNG;2017;SD;96.67
KEP. BANGKA BELITUNG;2017;SD;92.36
KEP. RIAU;2017;SD;96.28
DKI JAKARTA;2017;SD;97.2
JAWA BARAT;2017;SD;96.97
JAWA TENGAH;2017;SD;96.25
DI YOGYAKARTA;2017;SD;96.97
JAWA TIMUR;2017;SD;96.10
BANTEN;2017;SD;97.56
BALI;2017;SD;97.21
NUSA TENGGARA BARAT;2017;SD;96.79
NUSA TENGGARA TIMUR;2017;SD;85.07
KALIMANTAN BARAT;2017;SD;86.00
KALIMANTAN TENGAH;2017;SD;93.06
KALIMANTAN SELATAN;2017;SD;92.49
KALIMANTAN TIMUR;2017;SD;96.42
KALIMANTAN UTARA;2017;SD;92.04
